CD_PACOTE,CD_ITEM,CD_PREST,TP_ACOMODACAO,DT_INI_VIGENCIA,IND_ABRANG_GEOGR,NR_IDADE_MIN,NR_IDADE_MAX,FG_PACOTE_A1200,FG_CIRURGICO,ID_ORIGEM
85003007,99999935,,9,01/10/2020,1,,,S,,1782848
85003009,99999935,,9,01/10/2020,1,,,S,,1782849
85003010,99999935,,9,01/10/2020,1,,,S,,1782850
85003011,99999935,,9,01/10/2020,1,,,S,,1782851
85003012,99999935,,9,01/10/2020,1,,,S,,1782852
85003013,99999935,,9,01/10/2020,1,,,S,,1782853
85009004,99999935,,9,01/12/2020,1,,,S,,1782889
87000029,99999935,,9,01/09/2020,1,,,S,,1782892
87000030,99999935,,9,01/09/2020,1,,,S,,1782893
87000031,99999935,,9,01/09/2020,1,,,S,,1782895
87000032,99999935,,9,01/09/2020,1,,,S,,1782896
87000039,99999935,,9,01/09/2020,1,,,S,,1782902
87000036,99999935,,9,01/12/2020,1,,,S,,1782936
87000042,99999935,,9,01/12/2020,1,,,S,,1782944
87000038,99999935,,9,01/09/2020,1,,,S,,1782948
85009003,99999935,,9,01/09/2020,1,,,S,,1782949
87000035,99999935,,9,01/01/2019,1,,,S,,1782956
87000034,99999935,,9,01/01/2019,1,,,S,,1782957
87000042,60000554,,9,01/12/2020,1,,,S,,1782944
87000036,60000805,,9,01/12/2020,1,,,S,,1782936
88000009,40403262,,9,01/01/2019,1,,,S,,1222074
88000008,40403262,,9,01/01/2019,1,,,S,,1222073
88000011,40403262,,9,27/04/2021,1,,,S,,1803664
88000011,40403289,,9,27/04/2021,1,,,S,,1803664
88000008,40403289,,9,01/01/2019,1,,,S,,1222073
88000009,40403289,,9,01/01/2019,1,,,S,,1222074
88000009,40403890,,9,01/01/2019,1,,,S,,1222074
88000008,40403890,,9,01/01/2019,1,,,S,,1222073
88000011,40403890,,9,27/04/2021,1,,,S,,1803664
88000007,40403890,,9,01/01/2019,1,,,S,,1222072
85003014,00776874,,9,01/04/2022,1,,,S,,2057760
88000011,89999932,,9,27/04/2021,1,,,S,,1803664
88000011,89999916,,9,27/04/2021,1,,,S,,1803664
