CD_GRUPO,CD_ITEM,ID_ORIGEM
24248,31001041,24250
24248,31001068,24252
28066,30205247,23249
23201,30206014,23251
28082,30206260,23274
23201,30206294,23276
23201,30206367,23283
28887,30207070,23290
28887,30207096,23292
28887,30207169,23299
28887,30207185,23301
28915,30208025,23306
28915,30208041,23308
28915,30208114,23315
28929,30209013,23317
26861,30210127,23324
23321,30212057,23331
28852,30212073,23333
26861,30212146,23340
28852,30212162,23342
27209,30214017,23349
26872,30214033,23351
27636,30215072,23356
27636,30215099,23358
23359,30301068,23365
28808,30301181,23374
23359,30301203,23376
23359,30301254,23381
23359,30302013,23383
23359,30302080,23390
27890,30302102,23392
27822,30303109,23399
27830,30304032,23401
27841,30305020,23406
27841,30305047,23408
27852,30307023,23415
27852,30307040,23417
27852,30307120,23424
27865,30308038,23426
27877,30310016,23431
27877,30310032,23433
23430,30310059,23435
23430,30310113,23440
27887,30311039,23442
23430,30312078,23449
27916,30312094,23451
27922,30313040,23456
27922,30313066,23458
26818,30401011,23460
28826,30401070,23465
28826,30401100,23467
27978,30402093,23474
27978,30403030,23476
27978,30403103,23483
27978,30403120,23485
27978,30404029,23490
27978,30404045,23492
27978,30404126,23499
28017,30501121,23510
23501,30501172,23515
23501,30501199,23517
28017,30501288,23524
28791,30501300,23526
28017,30501458,23533
28045,30502020,23535
28045,30502080,23540
23501,30502101,23542
28045,30502209,23549
28045,30502225,23551
29031,30601010,23558
29031,30601037,23560
23557,30601142,23565
29031,30601169,23567
27474,30602050,23576
27474,30602149,23585
27345,30602203,23590
27367,30701015,23599
27367,30701031,23601
27367,30701104,23608
27367,30701120,23610
27367,30701171,23615
27502,30701198,23617
27386,30702054,23624
27386,30702070,23626
27395,30703069,23633
27395,30703107,23635
27395,30703158,23640
27395,30703174,23642
27422,30705037,23649
27422,30705053,23651
27450,30706025,23658
27460,30707013,23660
27460,30707064,23665
28432,30709016,23676
28448,30711037,23683
28451,30712025,23685
28451,30712076,23690
28451,30712092,23692
28451,30712114,23694
28466,30713048,23699
28466,30713072,23701
28088,30715024,23710
27710,30715083,23715
23679,30715105,23717
28088,30715121,23719
28088,30715172,23724
27710,30715199,23726
28088,30715261,23733
23679,30715288,23735
28088,30715385,23742
28145,30717035,23749
28130,30717051,23751
28130,30717132,23758
23679,30717159,23760
23679,30718074,23767
28160,30718090,23769
28174,30719054,23774
23679,30719089,23776
23781,30720028,23783
28189,30720044,23785
28189,30720125,23792
28189,30720141,23794
27531,30721032,23799
28209,30721067,23801
27531,30721156,23808
27531,30721202,23810
27574,30722055,23819
28224,30722110,23824
28224,30722144,23826
27616,30722225,23833
27502,30722241,23835
27574,30722314,23842
28224,30722365,23844
28224,30722438,23849
27616,30722454,23851
28224,30722578,23858
27531,30722594,23860
27626,30722683,23867
27531,30722713,23869
28224,30722772,23874
28224,30722799,23876
28776,30722861,23883
28265,30723019,23885
28278,30724015,23892
28278,30724058,23894
28278,30724104,23899
28278,30724120,23901
23781,30724147,23903
28278,30724198,23908
28278,30724210,23910
28297,30725046,23917
28297,30725070,23919
23781,30725135,23924
28297,30725151,23926
28314,30726026,23928
28314,30726077,23933
28314,30726107,23935
28314,30726174,23942
28314,30726190,23944
28314,30726247,23949
23781,30726271,23951
23781,30726298,23953
28351,30727081,23958
23781,30727111,23960
28367,30728010,23967
28367,30728045,23969
23781,30728150,23978
23781,30729033,23983
28381,30729050,23985
28381,30729149,23992
28381,30729165,23994
28381,30729246,24001
23781,30729262,24003
28841,30729319,24008
28841,30729335,24010
28404,30730066,24017
25381,30730082,24019
28412,30731046,24026
24011,30731062,24028
28412,30731119,24033
27574,30731135,24035
28412,30731208,24042
27574,30731224,24044
28443,30732131,24051
28999,30801010,24053
28999,30801060,24058
24052,30801087,24060
24052,30802032,24067
28963,30803020,24069
24052,30803098,24076
28963,30803110,24078
28985,30804019,24083
28985,30804035,24085
28985,30804108,24092
29031,30804132,24094
24052,30805074,24101
29017,30805104,24103
24052,30805171,24108
28619,30806020,24110
25468,30901057,24117
25468,30901090,24119
25461,30903017,24126
21759,30904013,24128
25329,30906016,24142
25329,30906040,24144
25329,30906130,24151
25329,30906156,24153
25329,30906210,24158
25329,30906237,24160
25329,30906261,24162
25329,30906342,24167
25329,30906385,24169
25329,30906458,24176
25310,30907020,24178
25303,30907071,24183
25310,30907110,24185
25310,30907144,24187
25387,30908051,24192
25396,30908078,24194
25403,30910145,24210
24205,30911141,24217
25570,30912024,24219
25435,30912113,24226
25570,30912199,24228
29404,30914043,24235
29404,30914078,24237
25367,30914132,24242
25478,30915023,24244
29084,20104049,21825
29084,20104057,21826
23145,20104308,21841
21618,20201010,21843
26998,30101255,23160
28652,30101280,23161
26998,30101298,23162
28652,30101336,23163
28652,30101557,23177
28652,30101565,23178
28652,30101573,23179
27502,30101581,23180
25381,30101832,23193
26998,30101840,23194
28865,30101875,23195
28865,30101883,23196
28754,30201110,23210
26748,30202027,23211
26748,30202035,23212
26748,30202043,23213
26768,30204070,23227
26768,30204089,23228
23201,30204097,23229
26768,30204100,23230
26780,30205158,23243
26780,30205174,23244
26780,30205182,23245
